speaker_id,n_seg,hours,wer_A,wer_B,gain_abs,gain_abs_lo,gain_abs_hi,gain_rel
12937,104,0.382802,0.333452,0.29807,0.0353824,0.0175986,0.0543327,0.106109
30788,294,0.944955,0.384827,0.34339,0.0414372,0.0275309,0.0560156,0.107677
30646,281,0.93508,0.415437,0.369635,0.0458015,0.00958171,0.0740928,0.110249
30877,338,0.966106,0.343106,0.302775,0.0403318,0.0230422,0.0577818,0.117549
30685,261,0.945102,0.395447,0.343736,0.0517111,0.0378127,0.0662676,0.130766
532,217,0.960479,0.377179,0.327258,0.0499208,0.0267122,0.0678266,0.132353
30861,400,0.895318,0.342285,0.2961,0.0461854,0.0298688,0.0634492,0.134933
30084,343,0.927718,0.524199,0.452177,0.0720215,0.0588364,0.0859782,0.137393
30809,251,0.976202,0.281893,0.242357,0.0395356,0.0232988,0.0570014,0.14025
30893,24,0.110941,0.635311,0.545586,0.089725,0.039418,0.148014,0.14123
30706,239,0.895478,0.358036,0.307363,0.050673,0.0347376,0.0664723,0.14153
30839,305,0.929067,0.345027,0.296102,0.0489247,0.0380555,0.0610463,0.1418
30831,280,0.922845,0.382937,0.328042,0.0548942,0.0391449,0.0709974,0.143351
30871,282,0.959601,0.272896,0.233325,0.0395712,0.0289097,0.0495937,0.145005
30854,384,0.915123,0.431791,0.368624,0.0631673,0.0431449,0.0826,0.146291
30808,283,0.950096,0.333573,0.282875,0.0506985,0.0362838,0.064492,0.151986
30781,210,0.904164,0.415713,0.35215,0.0635633,0.0505954,0.0757262,0.152902
445,231,0.906843,0.462851,0.392038,0.0708127,0.0533846,0.0875864,0.152992
30096,220,0.698843,0.348643,0.294958,0.0536844,0.0377849,0.0701696,0.153981
30813,245,0.969434,0.339375,0.286831,0.0525441,0.0404821,0.0633478,0.154826
30718,250,0.964257,0.32685,0.274891,0.0519587,0.0417255,0.0622556,0.158968
30818,239,0.980251,0.319094,0.268123,0.0509709,0.0363452,0.0650986,0.159736
30118,236,0.940802,0.355139,0.297604,0.0575347,0.0401276,0.075148,0.162006
30849,275,0.940502,0.368905,0.308693,0.0602117,0.0435863,0.0763128,0.163217
30080,277,0.953584,0.399235,0.33348,0.0657546,0.0505653,0.0806402,0.164702
30842,285,0.912163,0.392772,0.327469,0.0653035,0.050848,0.0811698,0.166263
30778,221,0.96486,0.24523,0.204082,0.0411482,0.0310171,0.0518198,0.167794
23641,266,0.882927,0.492933,0.410091,0.0828413,0.0354015,0.114172,0.168058
30780,332,0.942857,0.330436,0.274538,0.0558976,0.0434598,0.0672575,0.169163
11835,235,0.837063,0.587549,0.487681,0.0998686,0.0802613,0.120109,0.169975
30767,276,0.89206,0.415309,0.341358,0.0739506,0.0581277,0.0901591,0.178062
12959,21,0.0751361,0.364307,0.29941,0.0648968,0.0269736,0.0991172,0.178138
30762,230,0.956036,0.300473,0.246845,0.0536278,0.0390878,0.0661237,0.178478
1068,287,0.880525,0.579626,0.475989,0.103637,0.082961,0.125782,0.1788
30851,270,0.955294,0.317575,0.260719,0.0568557,0.0432729,0.0708159,0.179031
30694,214,0.971968,0.283009,0.232291,0.0507185,0.0306783,0.0736321,0.179211
30876,241,0.941478,0.406103,0.333063,0.0730401,0.0560853,0.0893613,0.179856
30723,275,0.954101,0.331742,0.271936,0.0598063,0.0473266,0.0722551,0.180279
30874,263,0.911412,0.392947,0.321338,0.0716091,0.0569859,0.0863066,0.182236
30601,271,0.838221,0.557715,0.455143,0.102572,0.0856872,0.121199,0.183914
23653,248,0.937947,0.333141,0.271523,0.0616182,0.0485788,0.0749625,0.184961
30705,258,0.962472,0.351513,0.285551,0.0659623,0.051867,0.080569,0.187652
30830,308,0.909994,0.382115,0.310291,0.071824,0.05821,0.0861204,0.187964
30708,248,0.945096,0.321838,0.261192,0.0606455,0.0482688,0.0737701,0.188435
30057,278,0.928958,0.440727,0.356877,0.0838496,0.0670228,0.100664,0.190253
30065,292,0.936475,0.49678,0.4022,0.0945801,0.074841,0.113997,0.190386
30810,250,0.942829,0.390982,0.316332,0.0746494,0.0591132,0.0907347,0.190928
30815,292,0.946782,0.348374,0.281717,0.0666569,0.0536334,0.0808794,0.191337
23565,232,0.973373,0.330013,0.266828,0.0631849,0.0502421,0.0775023,0.191462
30722,258,0.9383,0.420224,0.339537,0.0806871,0.0665702,0.095194,0.19201
30772,276,0.913836,0.429622,0.346901,0.0827206,0.0696056,0.0951017,0.192543
23639,266,0.915461,0.393952,0.317999,0.075953,0.0609339,0.0918382,0.192797
