speaker_id,n_seg,hours,wer_A,wer_B,gain_abs,gain_abs_lo,gain_abs_hi,gain_rel
12937,104,0.382802,0.206219,0.161187,0.0450322,0.027381,0.0635703,0.218371
30877,338,0.966106,0.229977,0.178919,0.0510584,0.0354721,0.0674621,0.222015
30788,294,0.944955,0.257386,0.199049,0.0583375,0.0457573,0.0720594,0.226654
30646,281,0.93508,0.264801,0.204071,0.0607294,0.0243137,0.0884213,0.22934
30893,24,0.110941,0.447178,0.342981,0.104197,0.0564223,0.1578,0.23301
30685,261,0.945102,0.250113,0.190412,0.0597015,0.0474695,0.0731431,0.238698
30861,400,0.895318,0.234006,0.177728,0.0562778,0.0411498,0.0723108,0.240497
30809,251,0.976202,0.189741,0.144033,0.0457084,0.0295152,0.0624306,0.240899
30813,245,0.969434,0.22564,0.171267,0.0543731,0.0426603,0.0651248,0.240973
30839,305,0.929067,0.216129,0.162903,0.0532258,0.0436832,0.0643308,0.246269
30871,282,0.959601,0.186342,0.140418,0.0459238,0.0354804,0.0566673,0.246449
30084,343,0.927718,0.366237,0.27455,0.0916869,0.0778164,0.106462,0.250349
30818,239,0.980251,0.216667,0.161327,0.0553398,0.0427902,0.0679861,0.255414
30808,283,0.950096,0.229008,0.170243,0.0587642,0.0445178,0.0719958,0.256604
12959,21,0.0751361,0.303835,0.225664,0.0781711,0.0440488,0.110713,0.257282
30778,221,0.96486,0.163929,0.121122,0.0428074,0.0322555,0.0535809,0.261134
532,217,0.960479,0.259588,0.191601,0.0679873,0.0480167,0.0834062,0.261905
30767,276,0.89206,0.305309,0.223951,0.081358,0.0669927,0.0958076,0.266478
30718,250,0.964257,0.211099,0.154244,0.0568553,0.0462715,0.0672293,0.26933
30706,239,0.895478,0.230562,0.167854,0.0627078,0.0482797,0.0774639,0.271978
30854,384,0.915123,0.259935,0.188909,0.0710261,0.0526527,0.0897825,0.273246
30849,275,0.940502,0.248655,0.180635,0.0680201,0.0517231,0.0837365,0.273552
30842,285,0.912163,0.255032,0.183389,0.0716437,0.0576513,0.0863201,0.28092
23641,266,0.882927,0.341385,0.245303,0.0960816,0.0491629,0.127648,0.281447
30096,220,0.698843,0.236171,0.169218,0.0669524,0.0524564,0.0834353,0.283492
30831,280,0.922845,0.248843,0.177083,0.0717593,0.0575117,0.0866335,0.288372
30876,241,0.941478,0.280312,0.199318,0.0809933,0.064148,0.0964399,0.28894
30118,236,0.940802,0.223676,0.158417,0.0652585,0.0505295,0.0803747,0.291755
23653,248,0.937947,0.224878,0.159228,0.0656493,0.0531022,0.0787062,0.291933
30781,210,0.904164,0.251933,0.178008,0.0739251,0.0611261,0.0862053,0.293432
30851,270,0.955294,0.22758,0.160672,0.0669075,0.0536026,0.0810757,0.293996
30780,332,0.942857,0.218278,0.15393,0.0643487,0.0530707,0.0757177,0.294801
30875,199,0.875661,0.303257,0.213692,0.0895646,0.0745426,0.105638,0.295342
30694,214,0.971968,0.196957,0.138631,0.0583263,0.0383948,0.0798084,0.296137
30722,258,0.9383,0.291124,0.204321,0.0868037,0.0730008,0.100484,0.298167
11835,235,0.837063,0.410972,0.288272,0.1227,0.102361,0.142673,0.298561
445,231,0.906843,0.288938,0.201981,0.0869565,0.0708755,0.103424,0.300952
30867,240,0.955473,0.254966,0.178219,0.0767472,0.0637699,0.0910183,0.301009
30762,230,0.956036,0.195058,0.136172,0.0588854,0.0462469,0.0705418,0.301887
30680,107,0.491004,0.220588,0.153595,0.0669935,0.0519981,0.0832096,0.303704
30672,293,0.900956,0.332723,0.231159,0.101564,0.0868474,0.117337,0.30525
23600,245,0.952339,0.307125,0.212892,0.0942333,0.0751914,0.116006,0.306824
30789,215,0.945441,0.235437,0.16313,0.0723071,0.0632463,0.082999,0.307118
30710,235,0.917543,0.27277,0.188744,0.0840257,0.070494,0.0976804,0.308046
477,135,0.78575,0.205837,0.142412,0.0634241,0.0461334,0.0799453,0.308129
30695,260,0.954099,0.278202,0.192365,0.0858374,0.0728591,0.0991589,0.308544
30837,242,0.938834,0.226994,0.15688,0.0701139,0.0591519,0.081826,0.30888
30830,308,0.909994,0.271682,0.187651,0.0840312,0.0720514,0.0976895,0.3093
30874,263,0.911412,0.284992,0.196534,0.0884583,0.0743549,0.102745,0.310389
30068,213,0.67065,0.395344,0.271826,0.123518,0.102858,0.143853,0.312432
30815,292,0.946782,0.237181,0.16276,0.0744213,0.0622056,0.0879199,0.313774
12952,259,0.922197,0.29515,0.202187,0.092963,0.0781094,0.109529,0.314968
30705,258,0.962472,0.236008,0.161479,0.0745288,0.0608985,0.0888022,0.315789
30863,236,0.975241,0.190021,0.130007,0.0600141,0.0506063,0.071034,0.315828
