condition,level,chunks,speakers,WER_A,WER_B
year,2018,9159,95,0.4522,0.3227
year,2019,1845,103,0.4868,0.3653
year,2020,1.398e+04,126,0.3868,0.2865
year,2021,6895,145,0.3815,0.284
year,2022,6551,134,0.3499,0.2765
year,2023,8013,111,0.3701,0.2925
year,2024,5670,96,0.3685,0.2919
year,2025,5632,99,0.3514,0.2725
year,2026,438,49,0.351,0.274
committee (top 12),הוועדה לקידום מעמד האישה ולשוויון מגדרי,1907,117,0.2969,0.2119
committee (top 12),ועדת החינוך התרבות והספורט,4971,205,0.3438,0.2548
committee (top 12),הוועדה לענייני ביקורת המדינה,1759,135,0.3664,0.2592
committee (top 12),ועדת הפנים והגנת הסביבה,4447,195,0.3565,0.268
committee (top 12),ועדת העבודה והרווחה,1921,115,0.362,0.2845
committee (top 12),ועדת החוץ והביטחון,1623,97,0.3696,0.2863
committee (top 12),ועדת הבריאות,1860,116,0.3799,0.2969
committee (top 12),"ועדת העבודה, הרווחה והבריאות",1623,76,0.4161,0.3043
committee (top 12),ועדת הכלכלה,7303,207,0.408,0.3174
committee (top 12),"ועדת החוקה, חוק ומשפט",6004,193,0.408,0.3199
committee (top 12),ועדת הכנסת,2962,188,0.4363,0.3281
committee (top 12),ועדת הכספים,7268,211,0.4732,0.3735
chunk length (s),"(-0.001, 3.0]",1.153e+04,264,0.5727,0.3781
chunk length (s),"(3.0, 6.0]",9072,264,0.4927,0.3792
chunk length (s),"(6.0, 10.0]",6806,265,0.4571,0.3665
chunk length (s),"(10.0, 20.0]",1.18e+04,267,0.3993,0.3158
chunk length (s),"(20.0, 31.0]",1.897e+04,267,0.3492,0.2595
speaking rate (wpm),"(-0.001, 50.0]",780,220,2.058,2.003
speaking rate (wpm),"(50.0, 100.0]",1.323e+04,266,0.5298,0.4279
speaking rate (wpm),"(100.0, 150.0]",2.77e+04,267,0.3334,0.246
speaking rate (wpm),"(150.0, 200.0]",1.089e+04,263,0.3267,0.2299
speaking rate (wpm),"(200.0, 250.0]",3657,255,0.4381,0.2954
speaking rate (wpm),"(250.0, 300.0]",1264,231,0.526,0.3498
speaking rate (wpm),"(300.0, 5000.0]",656,198,0.6728,0.5258
