session,speaker_id,session_date,chunks,words,quality,wer_A,wer_B
2216644,23639,2024-03-26,8,130,0.944774,1.17692,1.36154
2235347,23565,2025-09-17,7,72,0.8465,1.40278,1.30556
2202291,30660,2023-02-28,6,74,0.82445,1.13514,1.13514
2208488,12938,2023-07-10,5,104,0.801,1.00962,1.125
2144539,30118,2020-08-25,5,36,0.780031,1.22222,1.02778
2076459,1068,2018-11-26,5,156,0.849946,1.10256,1.01282
2211954,23597,2023-12-04,6,98,0.7692,0.928571,1.0102
2077130,30065,2018-12-30,49,1032,0.9652,0.963178,0.996124
2164985,30601,2021-11-23,7,151,0.942254,1.01325,0.94702
2235898,12938,2025-10-28,8,175,0.888429,1.06857,0.942857
2147519,30601,2020-10-27,6,74,0.812274,1.02703,0.932432
2150835,30081,2020-12-15,11,112,0.891337,1.13393,0.928571
2239404,30700,2026-01-19,5,139,0.89869,0.978417,0.920863
2143756,23641,2020-08-03,7,179,0.90939,0.955307,0.910615
