speaker_id,n_seg,sessions,hours,n_words,n_chars,wer_A,cer_A,wer_B,cer_B,gain_abs,gain_rel,wer_A_lo,wer_A_hi,wer_B_lo,wer_B_hi,gain_abs_lo,gain_abs_hi,reliable,S_share_A,D_share_A,I_share_A,S_share_B,D_share_B,I_share_B,runaway_A,runaway_B,first_date,last_date,speaker_name,gender,origin,nationality,religion,orientation,age_mean,wpm_median,hours_corpus,label
427,228,28,0.955004,5249,26840,0.485616,0.277049,0.315679,0.206334,0.169937,0.349941,0.443762,0.528531,0.275968,0.356633,0.14694,0.193799,True,0.56022,0.0976854,0.342095,0.376584,0.100181,0.523235,1,4,2020-06-30,2025-12-23,אביגדור ליברמן,Male,FSU,Jewish,Jewish,Secular,65.5249,98.8053,4.24855,mk
445,231,58,0.906843,5451,27241,0.462851,0.315003,0.392038,0.292464,0.0708127,0.152992,0.42438,0.506365,0.3517,0.436516,0.0533846,0.0875864,True,0.418549,0.0903686,0.491082,0.310248,0.0739354,0.615817,2,3,2018-11-05,2019-04-16,איתן כבל,Male,Israel,Jewish,Jewish,Secular,59.301,103.354,11.7063,mk
448,107,5,0.547857,2969,15529,0.795554,0.525404,0.360728,0.223067,0.434827,0.546571,0.749989,0.840437,0.314142,0.413632,0.384387,0.482941,True,0.663844,0.255715,0.0804403,0.486461,0.107376,0.406162,1,0,2018-11-27,2018-12-18,סופה לנדבר,Female,FSU,Jewish,Jewish,Secular,69.1257,94.2408,0.547857,mk
467,28,1,0.168867,948,5194,0.219409,0.0916442,0.117089,0.0587216,0.102321,0.466346,0.16566,0.272348,0.0801633,0.157673,0.0738509,0.133648,True,0.682692,0.0480769,0.269231,0.558559,0.0720721,0.369369,0,0,2020-12-09,2020-12-09,צחי הנגבי,Male,Israel,Jewish,Jewish,Secular,63.85,94.2286,0.168867,mk
468,178,8,0.904966,5539,28677,0.645604,0.403111,0.439068,0.310388,0.206535,0.319911,0.605829,0.688772,0.3994,0.484213,0.179672,0.231068,True,0.559284,0.0855705,0.355145,0.369655,0.0867599,0.543586,2,5,2020-07-20,2021-06-07,ישראל כץ,Male,Israel,Jewish,Jewish,Secular,65.2288,107.785,1.00504,mk
477,135,1,0.78575,5140,26845,0.293191,0.171317,0.233268,0.156267,0.0599222,0.20438,0.261693,0.330839,0.198915,0.275748,0.041877,0.0773551,True,0.480425,0.106171,0.413404,0.354462,0.114262,0.531276,1,2,2020-07-22,2020-07-22,יובל שטייניץ,Male,Israel,Jewish,Jewish,Secular,62.28,113.043,0.78575,mk
488,203,15,0.753231,5275,25928,0.427678,0.262998,0.290047,0.201288,0.13763,0.321809,0.397939,0.461844,0.264832,0.319137,0.119604,0.157511,True,0.560727,0.12766,0.311613,0.413725,0.126797,0.459477,0,0,2018-11-05,2019-03-25,יצחק וקנין,Male,Israel,Jewish,Jewish,Haredi,60.8824,126.087,0.866147,mk
498,23,1,0.163144,897,4612,0.235229,0.116219,0.0992196,0.0611448,0.136009,0.578199,0.201626,0.273345,0.0820656,0.115639,0.101772,0.174911,True,0.668246,0.0616114,0.270142,0.483146,0.0898876,0.426966,0,0,2020-08-11,2020-08-11,משולם נהרי,Male,Israel,Jewish,Jewish,Haredi,69.26,91.6844,0.163144,mk
503,74,9,0.322554,2603,13016,0.376104,0.231254,0.291202,0.192455,0.084902,0.225741,0.327529,0.432207,0.243325,0.347813,0.0629769,0.109188,True,0.557712,0.103166,0.339122,0.448549,0.101583,0.449868,0,0,2018-11-28,2020-02-05,אילן גילאון,Male,Europe,Jewish,Jewish,Secular,62.7472,149.571,0.322554,mk
511,252,157,0.931439,6430,32124,0.361275,0.228023,0.265319,0.187586,0.0959565,0.265605,0.330527,0.394682,0.237023,0.295619,0.0794635,0.115547,True,0.482996,0.138614,0.37839,0.353458,0.107855,0.538687,0,1,2018-11-05,2022-10-26,מוסי רז,Male,Israel,Jewish,Jewish,Secular,55.8617,122.459,8.86651,mk
526,269,269,0.874874,6006,29626,0.454545,0.30804,0.364136,0.277729,0.0904096,0.198901,0.413232,0.50266,0.323613,0.41108,0.0710892,0.11008,True,0.416484,0.0893773,0.494139,0.27572,0.0900777,0.634202,3,3,2018-11-05,2022-12-06,משה גפני,Male,Israel,Jewish,Jewish,Haredi,70.2216,123.476,71.1093,mk
528,213,14,0.613036,3715,17809,0.633109,0.412993,0.471871,0.338087,0.161238,0.254677,0.581609,0.681833,0.418464,0.525489,0.136092,0.188244,True,0.502551,0.100765,0.396684,0.362807,0.0798631,0.55733,1,1,2019-07-10,2022-03-21,יעקב ליצמן,Male,Europe,Jewish,Jewish,Haredi,72.8373,115.888,0.797826,mk
532,217,31,0.960479,6310,32282,0.377179,0.238957,0.327258,0.233722,0.0499208,0.132353,0.341469,0.414255,0.287537,0.372264,0.0267122,0.0678266,True,0.451681,0.139916,0.408403,0.308475,0.131719,0.559806,0,1,2020-08-05,2026-01-20,יולי יואל אדלשטיין,Male,FSU,Jewish,Jewish,Religious,66.3489,116.599,3.27039,mk
556,309,73,0.939844,5810,28699,0.488296,0.318722,0.376076,0.272623,0.11222,0.22982,0.454071,0.527317,0.342482,0.414764,0.0919479,0.1321,True,0.475502,0.12478,0.399718,0.349657,0.12357,0.526773,1,1,2018-12-19,2022-06-14,חיים כץ,Male,Europe,Jewish,Jewish,Secular,72.8161,111.111,10.3923,mk
557,138,7,0.598511,4059,21026,0.496674,0.27076,0.225918,0.142585,0.270756,0.545139,0.464908,0.530846,0.195927,0.258617,0.247548,0.295912,True,0.665179,0.123512,0.21131,0.436205,0.131952,0.431843,0,0,2018-11-26,2020-07-22,עמיר פרץ,Male,MENA,Jewish,Jewish,Secular,67.6184,116.727,0.598511,mk
560,251,251,0.947911,5166,27004,0.430701,0.250222,0.271583,0.182232,0.159117,0.369438,0.395945,0.466128,0.236033,0.308419,0.139124,0.178408,True,0.573933,0.111461,0.314607,0.404847,0.125445,0.469708,0,3,2018-11-05,2023-03-21,אחמד טיבי,Male,Israel,Arab,Muslim,Unrecorded,63.6956,99.2034,16.2431,mk
563,296,54,0.955042,7234,35515,0.473044,0.28816,0.348493,0.242179,0.124551,0.263296,0.44309,0.50495,0.316543,0.383205,0.106347,0.14221,True,0.523963,0.130333,0.345704,0.381991,0.111067,0.506942,2,3,2021-06-23,2026-01-20,מאיר פרוש,Male,Israel,Jewish,Jewish,Haredi,67.9619,138.15,2.08924,former_mk
580,21,3,0.0858681,581,2850,0.772806,0.504561,0.507745,0.366316,0.26506,0.342984,0.670753,0.866987,0.399659,0.61307,0.203269,0.331212,True,0.55902,0.0846325,0.356347,0.386441,0.0372881,0.576271,0,0,2020-06-29,2021-03-17,יצחק כהן,Male,Israel,Jewish,Jewish,Haredi,69.7889,115.119,0.128157,mk
965,80,2,0.36775,2346,11856,0.455243,0.272267,0.306905,0.214744,0.148338,0.325843,0.406918,0.51204,0.258091,0.36232,0.117068,0.184721,True,0.495318,0.0926966,0.411985,0.333333,0.0611111,0.605556,0,0,2020-11-09,2020-11-23,בנימין נתניהו,Male,Israel,Jewish,Jewish,Secular,71.063,109.663,0.36775,mk
