speaker_id,n_seg,sessions,hours,n_words,n_chars,wer_A,cer_A,wer_B,cer_B,gain_abs,gain_rel,wer_A_lo,wer_A_hi,wer_B_lo,wer_B_hi,gain_abs_lo,gain_abs_hi,reliable,S_share_A,D_share_A,I_share_A,S_share_B,D_share_B,I_share_B,runaway_A,runaway_B,first_date,last_date,speaker_name,gender,origin,nationality,religion,orientation,age_mean,wpm_median,hours_corpus,label
427,228,28,0.955004,5249,26840,0.381596,0.277049,0.198514,0.206334,0.183082,0.47978,0.353787,0.409417,0.179154,0.217932,0.160444,0.207014,True,0.712931,0.124314,0.162756,0.598848,0.159309,0.241843,1,4,2020-06-30,2025-12-23,אביגדור ליברמן,Male,FSU,Jewish,Jewish,Secular,65.5249,98.8053,4.24855,mk
445,231,58,0.906843,5451,27241,0.288938,0.315003,0.201981,0.292464,0.0869565,0.300952,0.266785,0.313043,0.181345,0.224489,0.0708755,0.103424,True,0.670476,0.144762,0.184762,0.60218,0.143506,0.254314,2,3,2018-11-05,2019-04-16,איתן כבל,Male,Israel,Jewish,Jewish,Secular,59.301,103.354,11.7063,mk
448,107,5,0.547857,2969,15529,0.770293,0.525404,0.308185,0.223067,0.462108,0.599913,0.722164,0.813614,0.271384,0.349812,0.41794,0.505892,True,0.685614,0.264101,0.0502842,0.569399,0.125683,0.304918,1,0,2018-11-27,2018-12-18,סופה לנדבר,Female,FSU,Jewish,Jewish,Secular,69.1257,94.2408,0.547857,mk
467,28,1,0.168867,948,5194,0.189873,0.0916442,0.0875527,0.0587216,0.102321,0.538889,0.149123,0.231562,0.0633865,0.115814,0.0748389,0.132772,True,0.788889,0.0555556,0.155556,0.746988,0.0963855,0.156627,0,0,2020-12-09,2020-12-09,צחי הנגבי,Male,Israel,Jewish,Jewish,Secular,63.85,94.2286,0.168867,mk
468,178,8,0.904966,5539,28677,0.503159,0.403111,0.279834,0.310388,0.223326,0.443846,0.472123,0.534131,0.256136,0.304998,0.197675,0.248484,True,0.717618,0.109795,0.172587,0.58,0.136129,0.283871,2,5,2020-07-20,2021-06-07,ישראל כץ,Male,Israel,Jewish,Jewish,Secular,65.2288,107.785,1.00504,mk
477,135,1,0.78575,5140,26845,0.205837,0.171317,0.142412,0.156267,0.0634241,0.308129,0.188024,0.226994,0.121597,0.169104,0.0461334,0.0799453,True,0.68431,0.151229,0.164461,0.580601,0.187158,0.23224,1,2,2020-07-22,2020-07-22,יובל שטייניץ,Male,Israel,Jewish,Jewish,Secular,62.28,113.043,0.78575,mk
488,203,15,0.753231,5275,25928,0.344834,0.262998,0.193175,0.201288,0.151659,0.439802,0.321525,0.371097,0.176659,0.211833,0.133257,0.172252,True,0.695437,0.158329,0.146234,0.621197,0.190383,0.18842,0,0,2018-11-05,2019-03-25,יצחק וקנין,Male,Israel,Jewish,Jewish,Haredi,60.8824,126.087,0.866147,mk
498,23,1,0.163144,897,4612,0.198439,0.116219,0.0668896,0.0611448,0.13155,0.662921,0.16579,0.238437,0.0530641,0.0803977,0.0999973,0.169967,True,0.792135,0.0730337,0.134831,0.716667,0.133333,0.15,0,0,2020-08-11,2020-08-11,משולם נהרי,Male,Israel,Jewish,Jewish,Haredi,69.26,91.6844,0.163144,mk
503,74,9,0.322554,2603,13016,0.281214,0.231254,0.189781,0.192455,0.091433,0.325137,0.247415,0.323131,0.161429,0.222902,0.0708128,0.114609,True,0.745902,0.137978,0.11612,0.688259,0.15587,0.15587,0,0,2018-11-28,2020-02-05,אילן גילאון,Male,Europe,Jewish,Jewish,Secular,62.7472,149.571,0.322554,mk
511,252,157,0.931439,6430,32124,0.263142,0.228023,0.158009,0.187586,0.105132,0.399527,0.24108,0.289042,0.142236,0.176224,0.0901016,0.123942,True,0.663121,0.190307,0.146572,0.593504,0.181102,0.225394,0,1,2018-11-05,2022-10-26,מוסי רז,Male,Israel,Jewish,Jewish,Secular,55.8617,122.459,8.86651,mk
526,269,269,0.874874,6006,29626,0.286547,0.30804,0.185315,0.277729,0.101232,0.353283,0.264904,0.31039,0.168879,0.20509,0.0821169,0.121239,True,0.660662,0.141778,0.19756,0.541779,0.176999,0.281222,3,3,2018-11-05,2022-12-06,משה גפני,Male,Israel,Jewish,Jewish,Haredi,70.2216,123.476,71.1093,mk
528,213,14,0.613036,3715,17809,0.48533,0.412993,0.302288,0.338087,0.183042,0.377149,0.454229,0.516992,0.271407,0.335067,0.158529,0.210359,True,0.655574,0.131448,0.212978,0.56634,0.124666,0.308994,1,1,2019-07-10,2022-03-21,יעקב ליצמן,Male,Europe,Jewish,Jewish,Haredi,72.8373,115.888,0.797826,mk
532,217,31,0.960479,6310,32282,0.259588,0.238957,0.191601,0.233722,0.0679873,0.261905,0.237296,0.282804,0.169934,0.216908,0.0480167,0.0834062,True,0.656288,0.203297,0.140415,0.526882,0.224979,0.248139,0,1,2020-08-05,2026-01-20,יולי יואל אדלשטיין,Male,FSU,Jewish,Jewish,Religious,66.3489,116.599,3.27039,mk
556,309,73,0.939844,5810,28699,0.3642,0.318722,0.24148,0.272623,0.122719,0.336957,0.338524,0.39045,0.219549,0.264822,0.103462,0.141612,True,0.637524,0.167297,0.19518,0.544547,0.192445,0.263008,1,1,2018-12-19,2022-06-14,חיים כץ,Male,Europe,Jewish,Jewish,Secular,72.8161,111.111,10.3923,mk
557,138,7,0.598511,4059,21026,0.447647,0.27076,0.163341,0.142585,0.284306,0.635113,0.419613,0.477949,0.143468,0.186048,0.260874,0.307911,True,0.73803,0.137039,0.124931,0.603318,0.182504,0.214178,0,0,2018-11-26,2020-07-22,עמיר פרץ,Male,MENA,Jewish,Jewish,Secular,67.6184,116.727,0.598511,mk
560,251,251,0.947911,5166,27004,0.353852,0.250222,0.187766,0.182232,0.166086,0.469365,0.328141,0.380769,0.165225,0.213331,0.144711,0.185292,True,0.698578,0.135667,0.165755,0.585567,0.181443,0.23299,0,3,2018-11-05,2023-03-21,אחמד טיבי,Male,Israel,Arab,Muslim,Unrecorded,63.6956,99.2034,16.2431,mk
563,296,54,0.955042,7234,35515,0.367432,0.28816,0.230993,0.242179,0.136439,0.371332,0.346907,0.389711,0.210655,0.253228,0.119946,0.153421,True,0.674567,0.167795,0.157637,0.576302,0.167564,0.256134,2,3,2021-06-23,2026-01-20,מאיר פרוש,Male,Israel,Jewish,Jewish,Haredi,67.9619,138.15,2.08924,former_mk
580,21,3,0.0858681,581,2850,0.614458,0.504561,0.328744,0.366316,0.285714,0.464986,0.547078,0.689321,0.27856,0.383096,0.220969,0.354795,True,0.703081,0.106443,0.190476,0.596859,0.0575916,0.34555,0,0,2020-06-29,2021-03-17,יצחק כהן,Male,Israel,Jewish,Jewish,Haredi,69.7889,115.119,0.128157,mk
965,80,2,0.36775,2346,11856,0.34399,0.272267,0.176044,0.214744,0.167945,0.488228,0.310456,0.38465,0.14798,0.206239,0.138514,0.203906,True,0.655514,0.122677,0.221809,0.581114,0.106538,0.312349,0,0,2020-11-09,2020-11-23,בנימין נתניהו,Male,Israel,Jewish,Jewish,Secular,71.063,109.663,0.36775,mk
1025,201,18,0.975816,6710,35284,0.210283,0.147007,0.126677,0.117759,0.0836066,0.39759,0.194337,0.227605,0.113466,0.13998,0.0714863,0.0962429,True,0.706591,0.166549,0.12686,0.7,0.164706,0.135294,0,0,2020-06-29,2025-02-17,גילה גמליאל,Female,Israel,Jewish,Jewish,Secular,47.7527,117.814,2.73635,mk
1027,247,44,0.977415,5829,30430,0.247727,0.218797,0.149254,0.183569,0.0984732,0.397507,0.227035,0.27007,0.133438,0.166859,0.0831461,0.114974,True,0.624654,0.192521,0.182825,0.545977,0.218391,0.235632,1,1,2020-04-19,2025-01-21,גדעון סער,Male,Israel,Jewish,Jewish,Secular,54.6934,106.122,4.6368,mk
1056,280,245,0.895269,6053,30958,0.433008,0.355385,0.24715,0.279734,0.185858,0.429225,0.406695,0.460097,0.226654,0.270352,0.165459,0.205561,True,0.690958,0.143838,0.165204,0.580214,0.159091,0.260695,3,3,2018-11-05,2026-01-14,יעקב מרגי,Male,MENA,Jewish,Jewish,Religious,59.8281,118.866,37.6604,mk
1057,321,299,0.930774,6679,33942,0.335679,0.278917,0.201827,0.224854,0.133852,0.398751,0.31161,0.360805,0.1846,0.220917,0.116806,0.151685,True,0.663693,0.188671,0.147636,0.563798,0.210682,0.225519,2,3,2018-11-26,2025-12-23,ישראל אייכלר,Male,Israel,Jewish,Jewish,Haredi,68.8681,133.065,36.8963,mk
1061,94,7,0.402774,2357,12048,0.389054,0.286355,0.202376,0.210574,0.186678,0.479826,0.352164,0.426692,0.176086,0.230086,0.15603,0.218721,True,0.690294,0.135224,0.174482,0.597484,0.165618,0.236897,0,0,2018-11-19,2018-12-26,ג'מאל זחאלקה,Male,Israel,Arab,Muslim,Unrecorded,63.9115,101.881,0.402774,mk
1068,287,43,0.880525,5664,27216,0.396186,0.402668,0.263595,0.366953,0.132592,0.33467,0.37108,0.42618,0.241887,0.287283,0.113281,0.154578,True,0.63057,0.187166,0.182264,0.511721,0.186872,0.301407,4,4,2018-11-05,2019-01-23,ניסן סלומינסקי,Male,Israel,Jewish,Jewish,Religious,72.8944,117.188,7.62145,mk
2178,248,126,0.940149,4843,24708,0.274417,0.227983,0.168078,0.194593,0.106339,0.387509,0.253193,0.297317,0.147171,0.188198,0.0876276,0.126158,True,0.65538,0.158766,0.185854,0.556511,0.169533,0.273956,0,1,2018-11-06,2022-10-26,זאב בנימין בגין,Male,Israel,Jewish,Jewish,Secular,78.5052,92.3126,8.29791,mk
4355,259,17,0.8395,6470,32619,0.290881,0.244704,0.171561,0.202551,0.11932,0.410202,0.268538,0.316354,0.152087,0.193053,0.101913,0.138659,True,0.616897,0.242295,0.140808,0.510811,0.199099,0.29009,1,2,2018-11-05,2019-01-01,יואל חסון,Male,Israel,Jewish,Jewish,Secular,45.6775,135.246,0.8395,mk
4395,204,54,0.963518,5966,30487,0.248575,0.199593,0.139122,0.157969,0.109454,0.440324,0.226736,0.272975,0.122355,0.158966,0.0947309,0.124367,True,0.681052,0.149022,0.169926,0.63253,0.162651,0.204819,0,1,2020-06-01,2025-06-23,אבי דיכטר,Male,Israel,Jewish,Jewish,Secular,69.0078,108.647,8.34192,mk
4397,275,190,0.952927,7226,36438,0.242181,0.18928,0.159424,0.166365,0.0827567,0.341714,0.224681,0.261344,0.144523,0.175792,0.0709721,0.0954164,True,0.681714,0.188571,0.129714,0.587674,0.213542,0.198785,0,1,2020-04-20,2025-12-08,זאב אלקין,Male,FSU,Jewish,Jewish,Religious,82.4763,129.87,34.5609,mk
4405,297,18,0.970165,6556,33933,0.261287,0.205287,0.144143,0.156809,0.117145,0.448336,0.239383,0.284942,0.128639,0.161369,0.0990242,0.134985,True,0.677758,0.183888,0.138354,0.6,0.172487,0.227513,1,3,2018-11-05,2019-07-10,שלי יחימוביץ',Female,Israel,Jewish,Jewish,Secular,58.6788,125,5.54552,mk
4412,174,9,0.600494,4226,21615,0.381448,0.26514,0.194747,0.172103,0.186701,0.489454,0.348089,0.416242,0.17467,0.217872,0.16201,0.212581,True,0.665633,0.222705,0.111663,0.603888,0.185905,0.210207,0,0,2018-11-14,2019-01-09,רוברט אילטוב,Male,FSU,Jewish,Jewish,Unrecorded,47.0402,127.141,0.600494,mk
4416,204,49,0.966381,7143,37341,0.242055,0.201896,0.132437,0.158914,0.109618,0.452863,0.219146,0.265692,0.117581,0.1489,0.0898368,0.128154,True,0.661076,0.185656,0.153268,0.570825,0.194503,0.234672,0,0,2018-11-05,2019-04-16,דב חנין,Male,Israel,Jewish,Jewish,Secular,61.0225,129.604,3.5962,mk
9615,46,2,0.143264,1220,6031,0.25,0.225833,0.132787,0.177914,0.117213,0.468852,0.200681,0.304864,0.0925014,0.182277,0.0912476,0.144984,True,0.590164,0.278689,0.131148,0.524691,0.228395,0.246914,0,1,2018-12-31,2019-01-01,יחיאל חיליק בר,Male,Israel,Jewish,Jewish,Unrecorded,43.3255,153.009,0.143264,mk
11835,235,227,0.837063,6088,30728,0.410972,0.387009,0.288272,0.343107,0.1227,0.298561,0.385073,0.436305,0.268015,0.308994,0.102361,0.142673,True,0.67466,0.156275,0.169065,0.613675,0.131054,0.255271,2,1,2018-11-06,2026-01-28,אורי מקלב,Male,Israel,Jewish,Jewish,Haredi,64.5756,126.85,17.6263,mk
12937,104,2,0.382802,2798,14359,0.206219,0.219096,0.161187,0.208301,0.0450322,0.218371,0.180786,0.231442,0.138953,0.184524,0.027381,0.0635703,True,0.67591,0.206239,0.117851,0.634146,0.157428,0.208426,0,0,2022-01-18,2022-05-09,אופיר אקוניס,Male,Israel,Jewish,Jewish,Secular,49.1065,126.809,0.568026,mk
12938,285,253,0.892692,6575,33220,0.33384,0.29997,0.221749,0.265232,0.112091,0.335763,0.312607,0.357845,0.202748,0.243741,0.0952183,0.130346,True,0.67426,0.171298,0.154442,0.565158,0.155007,0.279835,2,2,2018-11-13,2026-01-28,חמד עמאר,Male,Israel,Druze,Druze,Unrecorded,58.8504,128.571,12.1096,mk
12944,6,1,0.0234028,213,1112,0.164319,0.103417,0.0751174,0.0719424,0.0892019,0.542857,0.121938,0.284483,0.0572391,0.114062,0.0444984,0.181034,False,0.742857,0.171429,0.0857143,0.5625,0.3125,0.125,0,0,2023-03-20,2023-03-20,דני דנון,Male,Israel,Jewish,Jewish,Secular,51.87,156.206,0.0234028,mk
12945,72,14,0.34856,2076,10807,0.387765,0.309429,0.199904,0.198668,0.187861,0.484472,0.319167,0.458861,0.166961,0.235007,0.133694,0.252208,True,0.53913,0.371429,0.089441,0.551807,0.149398,0.298795,1,1,2018-11-11,2018-12-25,מסעוד גנאים,Male,Israel,Arab,Muslim,Unrecorded,53.8024,104.003,0.34856,mk
12947,241,49,0.967599,6322,32087,0.255932,0.251473,0.162132,0.217097,0.0937994,0.366502,0.230649,0.281255,0.144401,0.181307,0.0777121,0.108506,True,0.637824,0.169345,0.192831,0.523902,0.206829,0.269268,3,2,2019-10-23,2021-01-26,ניצן הורוביץ,Male,Israel,Jewish,Jewish,Secular,55.4773,115.483,5.40404,mk
12951,197,26,0.977946,6108,31918,0.247708,0.193558,0.129993,0.139263,0.117714,0.475215,0.218678,0.280245,0.113121,0.149014,0.0928226,0.146918,True,0.660939,0.202247,0.136814,0.623426,0.152393,0.224181,1,2,2020-05-27,2025-12-30,יריב לוין,Male,Israel,Jewish,Jewish,Secular,52.095,106.614,1.47938,mk
12952,259,39,0.922197,6949,35651,0.29515,0.256823,0.202187,0.224818,0.092963,0.314968,0.271456,0.32224,0.181214,0.22285,0.0781094,0.109529,True,0.66943,0.165773,0.164798,0.605694,0.163701,0.230605,2,2,2018-11-20,2022-06-20,אורלי לוי אבקסיס,Female,Israel,Jewish,Jewish,Secular,46.9725,131.183,2.92899,mk
12959,21,1,0.0751361,678,3483,0.303835,0.211886,0.225664,0.188056,0.0781711,0.257282,0.252581,0.395047,0.172129,0.309256,0.0440488,0.110713,True,0.694175,0.165049,0.140777,0.633987,0.189542,0.176471,0,0,2021-10-24,2021-10-24,מירי רגב,Female,Israel,Jewish,Jewish,Secular,56.4748,160.589,0.0751361,mk
12961,121,11,0.434793,3292,16815,0.347205,0.291288,0.217497,0.230211,0.129708,0.373578,0.312252,0.387725,0.192721,0.244811,0.102854,0.156318,True,0.620297,0.235346,0.144357,0.571229,0.202514,0.226257,0,0,2018-11-14,2018-12-25,נחמן שי,Male,Israel,Jewish,Jewish,Secular,73.2993,137.049,0.852152,mk
12962,75,4,0.212082,1341,6662,0.838926,0.619484,0.371365,0.360853,0.467562,0.557333,0.788274,0.887766,0.320643,0.427738,0.420482,0.515373,True,0.613333,0.348444,0.0382222,0.457831,0.154618,0.38755,0,0,2018-11-20,2018-12-18,רוברט טיבייב,Male,FSU,Jewish,Jewish,Unrecorded,57.4659,120.326,0.212082,mk
12963,140,15,0.741517,5252,27124,0.236291,0.17173,0.123001,0.12782,0.11329,0.479452,0.214215,0.259598,0.106764,0.138787,0.0994591,0.129491,True,0.741338,0.13054,0.128122,0.681115,0.139319,0.179567,1,0,2020-03-26,2021-03-29,משה יעלון,Male,Israel,Jewish,Jewish,Secular,70.0609,123.147,0.741517,mk
12964,104,6,0.432596,2695,14087,0.367347,0.279903,0.219666,0.232058,0.147681,0.40202,0.318333,0.420261,0.181754,0.265505,0.118377,0.180409,True,0.638384,0.181818,0.179798,0.54223,0.194257,0.263514,0,0,2018-11-21,2018-12-18,חנין זועבי,Female,Israel,Arab,Muslim,Unrecorded,49.5531,105.117,0.432596,mk
22151,209,25,0.913567,7197,36454,0.2533,0.185631,0.141865,0.143167,0.111435,0.439934,0.232518,0.276106,0.124811,0.161287,0.0980887,0.126225,True,0.695557,0.179375,0.125069,0.619001,0.222331,0.158668,2,2,2018-11-13,2026-01-21,אכרם חסון,Male,Israel,Druze,Druze,Unrecorded,62.4811,135.827,1.10254,mk
23511,19,3,0.0817258,508,2518,0.222441,0.21247,0.133858,0.179905,0.0885827,0.39823,0.1557,0.298546,0.0857099,0.194659,0.0463898,0.135263,False,0.646018,0.159292,0.19469,0.647059,0.132353,0.220588,0,0,2018-11-27,2020-06-23,נפתלי בנט,Male,Israel,Jewish,Jewish,Religious,47.4591,105.204,0.0817258,mk
23512,268,42,0.921449,6938,35229,0.268809,0.270516,0.172672,0.235857,0.0961372,0.357641,0.247448,0.290797,0.153888,0.192491,0.0785307,0.112741,True,0.666488,0.197319,0.136193,0.570117,0.205342,0.224541,4,3,2020-03-26,2021-01-26,איילת שקד,Female,Israel,Jewish,Jewish,Secular,44.5133,135.547,1.60316,mk
23534,170,16,0.680397,5008,25679,0.44389,0.316056,0.246206,0.22754,0.197684,0.445344,0.411221,0.479552,0.223416,0.272502,0.169421,0.224798,True,0.680612,0.219973,0.0994152,0.605028,0.150041,0.244931,0,2,2018-11-05,2020-02-25,מרדכי יוגב,Male,Israel,Jewish,Jewish,Religious,63.0153,127.239,0.73383,mk
23551,226,90,0.963347,6617,33945,0.242104,0.192399,0.139338,0.151038,0.102766,0.424469,0.22282,0.263584,0.124571,0.155752,0.0884503,0.118292,True,0.667291,0.177278,0.155431,0.627983,0.161605,0.210412,1,1,2021-05-27,2024-11-11,אורית סטרוק,Female,Israel,Jewish,Jewish,Religious,62.0532,117.967,7.23994,former_mk
