rule,group,speakers,chunks,hours_subset,hours_corpus,hours_minus_largest,wer_A,wer_B,gain_abs,gain_rel,viable
gender,Male,185,39183,146.164,2502.34,2276.16,0.400319,0.300368,0.0999514,0.249679,True
gender,Female,82,18997,71.1513,932.08,864.623,0.359246,0.27634,0.0829066,0.230779,True
nationality,Jewish,229,51334,188.216,3144.66,2918.49,0.38673,0.294888,0.0918425,0.237485,True
nationality,Arab,22,4074,17.2317,226.891,159.434,0.400962,0.283262,0.1177,0.293544,True
nationality,Bedouin,5,854,3.93662,26.658,15.7634,0.383366,0.267226,0.11614,0.302949,True
nationality,Druze,8,1580,6.58457,32.8777,20.7681,0.370141,0.263514,0.106627,0.288071,True
nationality,Unknown,3,338,1.34662,3.32641,0.394137,0.332314,0.252918,0.079396,0.238918,False
religion,Jewish,229,51334,188.216,3144.66,2918.49,0.38673,0.294888,0.0918425,0.237485,True
religion,Muslim,24,4264,18.3523,177.901,151.407,0.401706,0.282096,0.11961,0.297755,True
religion,Christian,3,664,2.81611,75.6487,8.19118,0.37183,0.268334,0.103496,0.278341,True
religion,Druze,8,1580,6.58457,32.8777,20.7681,0.370141,0.263514,0.106627,0.288071,True
religion,Unknown,3,338,1.34662,3.32641,0.394137,0.332314,0.252918,0.079396,0.238918,False
religious orientation,Haredi,27,6385,21.4778,447.755,331.856,0.436227,0.333934,0.102293,0.234494,True
religious orientation,Religious,46,10737,39.4748,910.93,684.755,0.385181,0.293391,0.0917901,0.238304,True
religious orientation,Unrecorded,74,14696,56.4233,703.699,636.242,0.388191,0.289642,0.098549,0.253867,False
religious orientation,Secular,119,26148,98.9766,1364.67,1240.77,0.375936,0.284886,0.0910508,0.242197,True
religious orientation,Sunni,1,214,0.963326,7.36519,0,0.348339,0.223754,0.124585,0.357654,False
country of origin,Ethiopia,5,1078,4.48872,86.678,21.7659,0.460397,0.334799,0.125597,0.272802,True
country of origin,MENA,7,1795,6.11599,214.595,90.7028,0.454532,0.326055,0.128477,0.282658,True
country of origin,Europe,5,1056,3.77429,67.8761,14.2468,0.416256,0.317639,0.0986171,0.236914,True
country of origin,FSU,17,3720,13.8132,188.84,154.279,0.425515,0.305177,0.120338,0.282805,True
country of origin,Americas,9,1946,7.56104,112.08,78.23,0.389283,0.299142,0.0901408,0.231556,True
country of origin,Israel,221,48247,180.216,2761.02,2534.85,0.379722,0.288967,0.0907554,0.239005,True
country of origin,Unknown,3,338,1.34662,3.32641,0.394137,0.332314,0.252918,0.079396,0.238918,False
age quartile,age Q4 (oldest),66,12688,48.226,745.057,621.165,0.412147,0.300848,0.111299,0.270047,True
age quartile,age Q3,66,14165,53.9021,822.486,706.588,0.391421,0.297203,0.0942175,0.240706,True
age quartile,age Q1 (youngest),66,16008,58.2662,945.735,719.56,0.371985,0.288406,0.0835789,0.224683,True
age quartile,age Q2,66,14981,55.5749,917.812,722.142,0.379599,0.286668,0.092931,0.244813,True
speaking rate tertile,fast speech,89,21491,73.8765,1219.35,993.172,0.380628,0.296428,0.0841999,0.221213,True
speaking rate tertile,medium speech,89,20270,75.4822,1091.82,967.924,0.384065,0.290245,0.0938199,0.244281,True
speaking rate tertile,slow speech,89,16419,67.9571,1123.25,927.582,0.398699,0.289724,0.108975,0.273326,True
