rule,group,speakers,chunks,hours_subset,hours_corpus,hours_minus_largest,wer_A,wer_B,gain_abs,gain_rel,viable
gender,Male,185,39183,146.164,2502.34,2276.16,0.293989,0.184303,0.109686,0.373096,True
gender,Female,82,18997,71.1513,932.08,864.623,0.25858,0.167704,0.0908756,0.351441,True
nationality,Arab,22,4074,17.2317,226.891,159.434,0.30516,0.180293,0.124867,0.409186,True
nationality,Jewish,229,51334,188.216,3144.66,2918.49,0.280436,0.179134,0.101302,0.36123,True
nationality,Bedouin,5,854,3.93662,26.658,15.7634,0.300403,0.177027,0.123376,0.410702,True
nationality,Druze,8,1580,6.58457,32.8777,20.7681,0.285137,0.172072,0.113065,0.396528,True
nationality,Unknown,3,338,1.34662,3.32641,0.394137,0.243561,0.158607,0.0849546,0.348802,False
religion,Muslim,24,4264,18.3523,177.901,151.407,0.307825,0.180856,0.126969,0.412471,True
religion,Jewish,229,51334,188.216,3144.66,2918.49,0.280436,0.179134,0.101302,0.36123,True
religion,Christian,3,664,2.81611,75.6487,8.19118,0.281757,0.172207,0.10955,0.38881,True
religion,Druze,8,1580,6.58457,32.8777,20.7681,0.285137,0.172072,0.113065,0.396528,True
religion,Unknown,3,338,1.34662,3.32641,0.394137,0.243561,0.158607,0.0849546,0.348802,False
religious orientation,Haredi,27,6385,21.4778,447.755,331.856,0.321075,0.207485,0.113591,0.353782,True
religious orientation,Unrecorded,74,14696,56.4233,703.699,636.242,0.287591,0.180428,0.107163,0.372622,False
religious orientation,Religious,46,10737,39.4748,910.93,684.755,0.278234,0.176859,0.101376,0.364354,True
religious orientation,Secular,119,26148,98.9766,1364.67,1240.77,0.272473,0.172602,0.0998703,0.366533,True
religious orientation,Sunni,1,214,0.963326,7.36519,0,0.281229,0.151329,0.1299,0.461902,False
country of origin,Ethiopia,5,1078,4.48872,86.678,21.7659,0.353115,0.218412,0.134703,0.381471,True
country of origin,Europe,5,1056,3.77429,67.8761,14.2468,0.307474,0.198692,0.108782,0.353793,True
country of origin,MENA,7,1795,6.11599,214.595,90.7028,0.340194,0.198301,0.141892,0.417092,True
country of origin,FSU,17,3720,13.8132,188.84,154.279,0.326404,0.194619,0.131784,0.403746,True
country of origin,Americas,9,1946,7.56104,112.08,78.23,0.280014,0.182525,0.0974889,0.348157,True
country of origin,Israel,221,48247,180.216,2761.02,2534.85,0.275398,0.175715,0.0996827,0.361959,True
country of origin,Unknown,3,338,1.34662,3.32641,0.394137,0.243561,0.158607,0.0849546,0.348802,False
age quartile,age Q4 (oldest),66,12688,48.226,745.057,621.165,0.30954,0.187966,0.121573,0.392755,True
age quartile,age Q3,66,14165,53.9021,822.486,706.588,0.283434,0.179586,0.103848,0.366392,True
age quartile,age Q2,66,14981,55.5749,917.812,722.142,0.277495,0.175559,0.101936,0.367342,True
age quartile,age Q1 (youngest),66,16008,58.2662,945.735,719.56,0.266624,0.174897,0.0917268,0.344031,True
speaking rate tertile,slow speech,89,16419,67.9571,1123.25,927.582,0.29824,0.180128,0.118113,0.396031,True
speaking rate tertile,fast speech,89,21491,73.8765,1219.35,993.172,0.272488,0.179174,0.0933145,0.342453,True
speaking rate tertile,medium speech,89,20270,75.4822,1091.82,967.924,0.280452,0.177428,0.103024,0.367349,True
