test_min,S1,S2,S3,S4
15,0.2370866640815511,0.49128305427702135,0.8155934247780591,0.9499999964613467
30,0.12996913354769346,0.2972952426584437,0.613625110525079,0.7439655528764241
45,0.08866920532081277,0.21298880166895684,0.48987574691697955,0.5833465036386623
60,0.0696580835345201,0.16212434045011173,0.4325008095140569,0.49767600913252674
90,0.04639927031043917,0.11891388802314176,0.3134378091484308,0.37860696651646863
120,0.0358599887396209,0.08994718463569878,0.2682051305080765,0.2998048334299587
180,0.02527349888039753,0.06129470392595976,0.19536755849076434,0.21668300615856426
240,0.01866906260577962,0.04621775243775919,0.1434918342147954,0.16931602861760178
360,0.011984397099912168,0.03280146349733695,0.10148042082590983,0.11758345613572746
480,0.009320885527785865,0.024278631288465115,0.07604835874484853,0.09104388228300961
720,0.006166453051008284,0.015985489523690194,0.05204584357487037,0.061954990968015045
