budget_min,k_seg,words,wer_B,mde_rel,mde_abs,panel,speaker_id,ci95_hw_wer,mde_rel_unpaired
15,7,2024.519,0.19415639282559435,0.2370866640815511,0.04603189148512737,"S1 high wer_B, low gain",11835,0.06422871809564758,0.6687260885559527
30,13,3718.802,0.19415639282559435,0.1333299800921231,0.025886867990194927,"S1 high wer_B, low gain",11835,0.04747898498736984,0.4943339499930357
45,20,5802.6235,0.19415639282559435,0.0911116713787429,0.01768991345920767,"S1 high wer_B, low gain",11835,0.03863411180842328,0.4022443424140359
60,26,7524.73,0.19415639282559435,0.06911789307594299,0.013419680799330215,"S1 high wer_B, low gain",11835,0.032336967878928216,0.33668076658843554
90,40,11528.6625,0.19415639282559435,0.047079755985271185,0.00914083559720944,"S1 high wer_B, low gain",11835,0.02698428810474153,0.2809506085716748
120,53,15288.9205,0.19415639282559435,0.035892271873261786,0.006968714037228047,"S1 high wer_B, low gain",11835,0.02330533954768578,0.24264673218269278
15,8,1498.683,0.16063213162477583,0.4977217488798312,0.07995010547857867,"S2 high wer_B, normal gain",528,0.05681390733261159,0.7149784349033237
30,17,3167.5695,0.16063213162477583,0.2901459121704102,0.046606756354147974,"S2 high wer_B, normal gain",528,0.04000056613061291,0.5033898126365299
45,25,4652.2585,0.16063213162477583,0.21758015914885329,0.03495036476333827,"S2 high wer_B, normal gain",528,0.030602036275209615,0.3851133820599758
60,34,6294.4955,0.16063213162477583,0.16328634836655104,0.026229034203344825,"S2 high wer_B, normal gain",528,0.026531994919078386,0.3338936730939609
90,50,9321.04,0.16063213162477583,0.11682151331696655,0.018765288703736473,"S2 high wer_B, normal gain",528,0.022893518057607896,0.2881050165135168
120,67,12495.8585,0.16063213162477583,0.09312458474142477,0.014958800553687134,"S2 high wer_B, normal gain",528,0.019543487366176497,0.24594633014443373
15,7,1768.084,0.0981774658614874,0.8206684347688222,0.08057114723811634,S3 median wer_B,1057,0.04990545911290978,1.0275594182430594
30,15,3736.5345,0.0981774658614874,0.6161735097068363,0.060494353713995794,S3 median wer_B,1057,0.03266691797442375,0.6726157784391426
45,22,5561.617,0.0981774658614874,0.5028295904954896,0.04936653495501662,S3 median wer_B,1057,0.029333569578503582,0.6039817331984464
60,29,7281.777,0.0981774658614874,0.4155580164004118,0.04079843296861885,S3 median wer_B,1057,0.026919324773153282,0.5542721416671996
90,44,11106.6935,0.0981774658614874,0.324322454430256,0.03184115669794026,S3 median wer_B,1057,0.021554716055178995,0.4438142015674698
120,59,14838.1225,0.0981774658614874,0.2645996674801223,0.025977724820990627,S3 median wer_B,1057,0.018882981136986467,0.38880285757750144
15,6,1531.5745,0.060366696029304875,0.9499927528381347,0.05734792374062223,S4 low wer_B,4416,0.040261299025701414,1.34822098698193
30,12,3045.1005,0.060366696029304875,0.747892978501413,0.04514782809564624,S4 low wer_B,4416,0.0295410724113304,0.9892351902874219
45,19,4859.502,0.060366696029304875,0.5792792905941606,0.03496917685136906,S4 low wer_B,4416,0.023977242186593032,0.8029204697363846
60,25,6361.3395,0.060366696029304875,0.4892627601683138,0.029535176321539295,S4 low wer_B,4416,0.021258864019386634,0.7118907567298186
90,37,9429.399,0.060366696029304875,0.3795614368428476,0.022912869882338382,S4 low wer_B,4416,0.017203670126041452,0.5760953987658641
120,50,12752.5675,0.060366696029304875,0.30185829622028393,0.018222188011853747,S4 low wer_B,4416,0.014699271809460727,0.49223118047472253
